,index,Textstelle,Metapher,Metaphernkandidat,Nein,Metapher?,Fokus,Rahmen,Annotator,orig,lang,sentence_id
147,147," Eine weitere Folge der Entwickelung ist, daß das Recht, eine Zeit lang als göttliches Recht mit der Religion verwebt, aus seinem Zusammenhang mit der Religion losgelöst, die Rechtsprechung den Priestern entwunden wurde und weltlichen Organen zufiel. fiel.",1,4,0,Metaphernkandidat,"[nan, 'verwebt', nan, nan, nan]","[nan, 'göttliches Recht mit der Religion ', nan, nan, nan]","['B', 'A', 'P', 'K', 'GoldStandard']"," Eine weitere Folge der Entwickelung ist, daß das Recht, eine Zeit lang als göttliches Recht mit der Religion verwebt, aus seinem Zusammenhang mit der Religion losgelöst, die Rechtsprechung den Priestern entwunden wurde und weltlichen Organen zufiel. fiel.",de,147
148,148," Einen der furchtbarsten Auslesefaktoren, der aber in hohem Grade geeignet ist, das Durchschnittsniveau der generativen Qualität einer Bevölkerung zu erhöhen, bilden auf tieferen Wirtschaftsstufen die von Zeit zu Zeit rung zu erhöhen, bilden auf tieferen Wirtschaftsstufen die von Zeit zu Zeit wiederkehrenden Perioden großen Nahrungsmangels.",0,4,0,Metaphernkandidat,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","['B', 'K', 'A', 'GoldStandard']"," Einen der furchtbarsten Auslesefaktoren, der aber in hohem Grade geeignet ist, das Durchschnittsniveau der generativen Qualität einer Bevölkerung zu erhöhen, bilden auf tieferen Wirtschaftsstufen die von Zeit zu Zeit rung zu erhöhen, bilden auf tieferen Wirtschaftsstufen die von Zeit zu Zeit wiederkehrenden Perioden großen Nahrungsmangels.",de,148
149,149," Einerseits kann die Jurisprudenz, da sie nur gereinigtes Denken ist, trotz größter Freiheit des Denkens kein Stückchen des giltigen Rechts seiner Rechtsnatur entkleiden; andererseits ist sie, in welchem Sinne immer man ihr schöpferische Kraft beilegen möge, nicht imstande Recht zu machen, das noch kein Recht war.",2,3,0,Metaphernkandidat,"[nan, 'entkleiden', 'gereinigt,entkleiden', nan, nan]","[nan, 'seiner Rechtsnatur', 'Denken,seiner Rechtsnatur', nan, nan]","['B', 'A', 'P', 'K', 'GoldStandard']"," Einerseits kann die Jurisprudenz, da sie nur gereinigtes Denken ist, trotz größter Freiheit des Denkens kein Stückchen des giltigen Rechts seiner Rechtsnatur entkleiden; andererseits ist sie, in welchem Sinne immer man ihr schöpferische Kraft beilegen möge, nicht imstande Recht zu machen, das noch kein Recht war.",de,149
150,150," Er [der Gesetzgeber] ist, um ein Wort von Karl Marx, allerdings in anderem Sinne, zu gebrauchen, der Geburtshelfer des Gesellschaftslebens, das mit neuen sozialen Erscheinungen schwanger geht.",5,0,0,Metapher,"['der Geburtshelfer des Gesellschaftslebens, das mit neuen sozialen Ershceinungen schwanger geht', 'Geburtshelfer, schwanger ', 'Geburtshelfer, mit neuen sozialen Erscheinungen schwanger geht', 'der Geburtshelfer; schwanger geht', 'Geburtshelfer, mit neuen sozialen Erscheinungen schwanger geht']","['der Gesetzgeber', 'des Gesellschaftslebens, mit sozialen Erscheinungen', 'Gesellschaftsleben', 'des Gesellschaftslebens; mit neuen sozialen Erscheinungen', 'Gesellschaftsleben']","['B', 'A', 'P', 'K', 'GoldStandard']"," Er [der Gesetzgeber] ist, um ein Wort von Karl Marx, allerdings in anderem Sinne, zu gebrauchen, der Geburtshelfer des Gesellschaftslebens, das mit neuen sozialen Erscheinungen schwanger geht.",de,150
151,151," Er [der Grundsatz] ist auf geschichtlichem Boden erwachsen und verlangt also, um auf die Gegenwart und Zukunft anwendbar zu sein, die zum Teil sehr schwierige, zum Teil geradezu unmögliche Abwägung der veränderten Verhältnisse. änderten Verhältnisse.",0,4,0,Metaphernkandidat,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","['B', 'K', 'A', 'GoldStandard']"," Er [der Grundsatz] ist auf geschichtlichem Boden erwachsen und verlangt also, um auf die Gegenwart und Zukunft anwendbar zu sein, die zum Teil sehr schwierige, zum Teil geradezu unmögliche Abwägung der veränderten Verhältnisse. änderten Verhältnisse.",de,151
152,152," Er hatte eine allzu mangelhafte Kenntnis des Terrains, aus dem er operierte, und anstatt seine Wege diesem anzupassen, mutete er den tatsächlichen Verhältnissen zu, sich seinen Plänen anzupassen.",0,4,0,Metaphernkandidat,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","['B', 'K', 'A', 'GoldStandard']"," Er hatte eine allzu mangelhafte Kenntnis des Terrains, aus dem er operierte, und anstatt seine Wege diesem anzupassen, mutete er den tatsächlichen Verhältnissen zu, sich seinen Plänen anzupassen.",de,152
153,153," Er ist nur einer unter den gesellschaftlichen Organismen der Menschheit, und nur eine bestimmte Seite des menschlichen Gattungslebens bildet seinen begrifflich wesentlichen Inhalt. lichen Gattungslebens bildet seinen begrifflich wesentlichen Inhalt.",0,5,0,Metaphernkandidat,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['B', 'A', 'P', 'K', 'GoldStandard']"," Er ist nur einer unter den gesellschaftlichen Organismen der Menschheit, und nur eine bestimmte Seite des menschlichen Gattungslebens bildet seinen begrifflich wesentlichen Inhalt. lichen Gattungslebens bildet seinen begrifflich wesentlichen Inhalt.",de,153
154,154," Er leuchtet nur in diejenigen Erscheinungen mit dem Lichte seiner Vernunft hinein, von deren Kenntnis er Förderung der menschlichen Wohlfahrt erwartet.",4,1,0,Metapher,"['Lichte', 'leuchtet, mit Licht, hinein', 'mit dem Lichte', nan, 'mit dem Lichte']","['seiner Vernunft', 'Vernunft', 'seiner Vernunft', nan, 'seiner Vernunft']","['B', 'A', 'P', 'K', 'GoldStandard']"," Er leuchtet nur in diejenigen Erscheinungen mit dem Lichte seiner Vernunft hinein, von deren Kenntnis er Förderung der menschlichen Wohlfahrt erwartet.",de,154
155,155," Er muß damit rechnen, daß die einzelnen Volksgenossen bereits mit vielen festgewurzelten Vorstellungen erfüllt sind, die sich nicht einfach ignorieren lassen, sondern sich als sogenannte Tradition (dieses Wort nicht im engeren Sinne als mündliche Überlieferung, sondern im weiteren Sinne als die gesamte nichtphysiologische Überkommenschaft unserer Vorfahren genommen) der Aufnahme neuer andersartiger Vorstellungen als ein mächtiges nommen) der Aufnahme neuer andersartiger Vorstellungen als ein mächtiges Hindernis entgegenstellen.",1,3,0,Metaphernkandidat,"[nan, 'festgewurzelten, mächtiges', nan, nan]","[nan, 'Vorstellungen, Hindernis', nan, nan]","['B', 'A', 'P', 'K']"," Er muß damit rechnen, daß die einzelnen Volksgenossen bereits mit vielen festgewurzelten Vorstellungen erfüllt sind, die sich nicht einfach ignorieren lassen, sondern sich als sogenannte Tradition (dieses Wort nicht im engeren Sinne als mündliche Überlieferung, sondern im weiteren Sinne als die gesamte nichtphysiologische Überkommenschaft unserer Vorfahren genommen) der Aufnahme neuer andersartiger Vorstellungen als ein mächtiges nommen) der Aufnahme neuer andersartiger Vorstellungen als ein mächtiges Hindernis entgegenstellen.",de,155
156,156," Er umfaßt die Gewohnheiten des Handelns, die ihm das Elternhaus, die Schule und der sonstige Verkehr mit den Mitmenschen das Beispiel seiner Genossen und seiner Führer einimpfen.",1,4,0,Metaphernkandidat,"[nan, 'einimpfen', nan, nan, nan]","[nan, 'Gewohnheiten des Handelns', nan, nan, nan]","['B', 'A', 'P', 'K', 'GoldStandard']"," Er umfaßt die Gewohnheiten des Handelns, die ihm das Elternhaus, die Schule und der sonstige Verkehr mit den Mitmenschen das Beispiel seiner Genossen und seiner Führer einimpfen.",de,156
157,157," Erst durch die Verschmelzung der Descendenztheorie mit der Selektionstheorie wurde die Abstammungslehre eine Macht, die trotz des heftigen Widerstandes, den alte Vorurteile und großmächtige Interessen ihr sofort entgegengesetzt haben, unaufhaltsam sich Bahn gebrochen hat und wohl auch den gerade gegenwärtig heftig gewordenen Ansturm dieser Mächte ohne Schaden bestehen wird. stehen wird.",0,4,0,Metaphernkandidat,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","['B', 'K', 'A', 'GoldStandard']"," Erst durch die Verschmelzung der Descendenztheorie mit der Selektionstheorie wurde die Abstammungslehre eine Macht, die trotz des heftigen Widerstandes, den alte Vorurteile und großmächtige Interessen ihr sofort entgegengesetzt haben, unaufhaltsam sich Bahn gebrochen hat und wohl auch den gerade gegenwärtig heftig gewordenen Ansturm dieser Mächte ohne Schaden bestehen wird. stehen wird.",de,157
158,158," Erst nach dem Auftreten Luthers gewannen die meisten der jungen germanischen Staaten, in Deutschland wie im übrigen Europa, den Mut und die Kraft, sich den Fangarmen und Saugnäpfen dieses Riesenorganismus zu entreißen und die Stücke desselben, welche innerhalb ihrer Grenzen nismus zu entreißen und die Stücke desselben, welche innerhalb ihrer Grenzen lagen, zu eigenen Landeskirchen umzuformen.",5,0,0,Metapher,"['den Fangärmen und Saugnäpfen', 'Fangarmen und Saugnäpfen', 'sich den Fangarmen und Saugnäpfen dieses Riesenorganismus zu entreißen', 'Fangarmen und Saugnäpfen', nan]","['die katholische Kirche [dieses Riesenorganismus]', 'dieses Riesenorganismus', 'gewannen die meisten der jungen germanischen Staaten den Mut und die Kraft', 'dieses Riesenorganismus [Deutschland ... Europa]', nan]","['B', 'A', 'P', 'K', 'GoldStandard']"," Erst nach dem Auftreten Luthers gewannen die meisten der jungen germanischen Staaten, in Deutschland wie im übrigen Europa, den Mut und die Kraft, sich den Fangarmen und Saugnäpfen dieses Riesenorganismus zu entreißen und die Stücke desselben, welche innerhalb ihrer Grenzen nismus zu entreißen und die Stücke desselben, welche innerhalb ihrer Grenzen lagen, zu eigenen Landeskirchen umzuformen.",de,158
159,159," Erst wenn das alte Kleid der Gesellschafsverfassung zu eng wird, sinnt man auf technische und Verkehrsfortschritte, entstehen die Impulse zu moralischen und geistigen Fortschritten, die verbesserten Institutionen",3,1,0,Metapher,"['das alte Kleid zu eng wird', 'das alte Kleid ... zu eng wird', nan, nan]","['der Gesellschaftsverfassung', 'der Gesellschaftsverfassung', nan, nan]","['B', 'K', 'A', 'GoldStandard']"," Erst wenn das alte Kleid der Gesellschafsverfassung zu eng wird, sinnt man auf technische und Verkehrsfortschritte, entstehen die Impulse zu moralischen und geistigen Fortschritten, die verbesserten Institutionen",de,159
160,160," Erst wenn das letzte erbliche Vorrecht der nicht regierenden Familien beseitigt sein wird, dann mag der große König, der das zuwege gebracht haben wird, auch das Erbrecht seiner Familie auf dem Altar des Vaterlandes niederlegen.",4,1,0,Metapher,"['Altar', nan, 'auf dem ALtar des Vaterlandes niederlegen', 'Altar', nan]","['des Vaterlandes', nan, 'das Erbrecht', 'des Vaterlandes ', nan]","['B', 'A', 'P', 'K', 'GoldStandard']"," Erst wenn das letzte erbliche Vorrecht der nicht regierenden Familien beseitigt sein wird, dann mag der große König, der das zuwege gebracht haben wird, auch das Erbrecht seiner Familie auf dem Altar des Vaterlandes niederlegen.",de,160
161,161," Es frägt sich nur, ob dieses Produkt künstlicher Züchtung vor dem Richterstuhl der natürlichen Auslese bestehen könnte.",1,3,0,Metaphernkandidat,"[nan, 'vor dem Richterstuhl bestehen ', nan, nan]","[nan, 'dieses Produkt künstlicher Züchtung ', nan, nan]","['B', 'K', 'A', 'GoldStandard']"," Es frägt sich nur, ob dieses Produkt künstlicher Züchtung vor dem Richterstuhl der natürlichen Auslese bestehen könnte.",de,161
162,162, Es geht ein Zug von Barmherzigkeit durch die Einrichtungen dieser Völker.,1,3,0,Metaphernkandidat,"[nan, 'Es geht Zug von Barmherzigkeit ', nan, nan]","[nan, 'durch die Einrichtungen', nan, nan]","['B', 'K', 'A', 'GoldStandard']", Es geht ein Zug von Barmherzigkeit durch die Einrichtungen dieser Völker.,de,162
163,163," Es ist aber fraglich, ob jene Rassentheoretiker und Rassenpolitiker, die heute die Pfade begehen, welche der mit kühner Phantasie begabte Dichtergelehrte Joseph Arthur Gobineau mit seinem Essai sur l'inégalité des races humaines (4 Bände, Paris 1858-1855)2) eingeschlagen hat, und auf denen ihm zunächst eine Zeit lang niemand zufolgen Neigung zeigte, sich wirklich auf festem wissenschaftlichem Grund bewegen.",0,4,0,Metaphernkandidat,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","['B', 'K', 'A', 'GoldStandard']"," Es ist aber fraglich, ob jene Rassentheoretiker und Rassenpolitiker, die heute die Pfade begehen, welche der mit kühner Phantasie begabte Dichtergelehrte Joseph Arthur Gobineau mit seinem Essai sur l'inégalité des races humaines (4 Bände, Paris 1858-1855)2) eingeschlagen hat, und auf denen ihm zunächst eine Zeit lang niemand zufolgen Neigung zeigte, sich wirklich auf festem wissenschaftlichem Grund bewegen.",de,163
164,164," Es ist kein Zufall, daß alle Versuche, ein Weltreich zu gründen und verschiedene Nationen zusammenzuschweißen, gescheitert sind.",1,3,0,Metaphernkandidat,"[nan, nan, 'zusammenschweißen', nan]","[nan, nan, 'Nationen', nan]","['B', 'A', 'P', 'K']"," Es ist kein Zufall, daß alle Versuche, ein Weltreich zu gründen und verschiedene Nationen zusammenzuschweißen, gescheitert sind.",de,164
165,165," Es ist klar, daß der Staat an einer möglichst starken Volksvermehrung, soweit dadurch nicht die Lebenshaltung unter ein ungedeihliches mehrung, soweit dadurch nicht die Lebenshaltung unter ein ungedeihliches Maß herabgedrückt wird, ein hohes Interesse hat, nicht nur in militärischer, sondern auch in wirtschaftlicher Hinsicht. tärischer, sondern auch in wirtschaftlicher Hinsicht. ",0,4,0,Metaphernkandidat,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","['B', 'K', 'A', 'GoldStandard']"," Es ist klar, daß der Staat an einer möglichst starken Volksvermehrung, soweit dadurch nicht die Lebenshaltung unter ein ungedeihliches mehrung, soweit dadurch nicht die Lebenshaltung unter ein ungedeihliches Maß herabgedrückt wird, ein hohes Interesse hat, nicht nur in militärischer, sondern auch in wirtschaftlicher Hinsicht. tärischer, sondern auch in wirtschaftlicher Hinsicht. ",de,165
166,166," Es ist nicht immer nötig, daß dieser der schlechten Neigung entgegenstehende Vorstellungskomplex durch Erziehung und Erzieher bewußt hervorgebracht wird ; das Kind saugt diese Vorstellungen, sobald es sich in einer dazu Anlaß gebenden Umgebung befindet, von lungen, sobald es sich in einer dazu Anlaß gebenden Umgebung befindet, von selbst ein, es erzieht sich in einem guten Milieu durch Nachahmung und Gewöhnung gewissermaßen allein.",3,1,0,Metapher,"['saugt', 'saugt', 'saugt ein', nan]","['diese Vorstellungen', 'Vorstellung', 'diese Vorstellungen', nan]","['B', 'A', 'P', 'K']"," Es ist nicht immer nötig, daß dieser der schlechten Neigung entgegenstehende Vorstellungskomplex durch Erziehung und Erzieher bewußt hervorgebracht wird ; das Kind saugt diese Vorstellungen, sobald es sich in einer dazu Anlaß gebenden Umgebung befindet, von lungen, sobald es sich in einer dazu Anlaß gebenden Umgebung befindet, von selbst ein, es erzieht sich in einem guten Milieu durch Nachahmung und Gewöhnung gewissermaßen allein.",de,166
167,167," Es ist richtig, daß die Wirtschaftsweise eines Volkes seinem ganzen sozialen Leben ihren Stempel aufdrückt, aber einerseits ist diese Erkenntnis in der materialistischen Geschichtsauffassung auf Kosten anderer kenntnis in der materialistischen Geschichtsauffassung auf Kosten anderer Faktoren, die im gesellschaftlichen Leben mitwirken, überspannt, zum anderen gibt die methodische Durchführung jener Erkenntnis zu Bedenken Anlaß.",1,3,0,Metaphernkandidat,"[nan, 'überspannt', nan, nan]","[nan, 'Kosten', nan, nan]","['B', 'A', 'P', 'K']"," Es ist richtig, daß die Wirtschaftsweise eines Volkes seinem ganzen sozialen Leben ihren Stempel aufdrückt, aber einerseits ist diese Erkenntnis in der materialistischen Geschichtsauffassung auf Kosten anderer kenntnis in der materialistischen Geschichtsauffassung auf Kosten anderer Faktoren, die im gesellschaftlichen Leben mitwirken, überspannt, zum anderen gibt die methodische Durchführung jener Erkenntnis zu Bedenken Anlaß.",de,167
168,168," Es kann z. B. vorkommen, daß die Determinantenart a in allen oder fast allen väterlichen Iden homodynam ist (a1), während sie in den mütterlichen Iden nur durch eine Minorität (a1) vertreten ist und die große Mehrheit der mütterlichen Ide eine andere Variante (a2) dieser Determinantenart besitzt. Nach erfolgter Amphimixis wird die im mütterlichen Keimplasma dominierende Variante (a2) gegenüber der im väterlichen dominierenden (a1) in die Minorität geraten, da die a1 aus den mütterlichen Iden mit den a1 nierenden (a1) in die Minorität geraten, da die a1 aus den mütterlichen Iden mit den a1 aus den väterlichen homodynam sind, während a2 auf der väterlichen Seite keine Bundesgenossen vorfindet, wenn dort alle Ide die Variante a1 haben oder auch, wenn eine kleine genossen vorfindet, wenn dort alle Ide die Variante a1 haben oder auch, wenn eine kleine Minorität auf der väterlichen Seite zwar nicht a1, aber auch nicht a2, sondern eine Variante a3 besitzt.",1,3,0,Metaphernkandidat,"[nan, 'Bundesgenossen', nan, nan]","[nan, 'auf der väterlichen Seite', nan, nan]","['B', 'K', 'A', 'GoldStandard']"," Es kann z. B. vorkommen, daß die Determinantenart a in allen oder fast allen väterlichen Iden homodynam ist (a1), während sie in den mütterlichen Iden nur durch eine Minorität (a1) vertreten ist und die große Mehrheit der mütterlichen Ide eine andere Variante (a2) dieser Determinantenart besitzt. Nach erfolgter Amphimixis wird die im mütterlichen Keimplasma dominierende Variante (a2) gegenüber der im väterlichen dominierenden (a1) in die Minorität geraten, da die a1 aus den mütterlichen Iden mit den a1 nierenden (a1) in die Minorität geraten, da die a1 aus den mütterlichen Iden mit den a1 aus den väterlichen homodynam sind, während a2 auf der väterlichen Seite keine Bundesgenossen vorfindet, wenn dort alle Ide die Variante a1 haben oder auch, wenn eine kleine genossen vorfindet, wenn dort alle Ide die Variante a1 haben oder auch, wenn eine kleine Minorität auf der väterlichen Seite zwar nicht a1, aber auch nicht a2, sondern eine Variante a3 besitzt.",de,168
169,169," Es muß dem Einzelnen durch die Staatsinstitutionen täglich aufs neue klar werden, daß sein Gedeihen vom Staate in bestmöglicher und vernünftiger Weise gefördert wird deihen vom Staate in bestmöglicher und vernünftiger Weise gefördert wird und vom Gedeihen des Staates abhängt.",1,3,0,Metaphernkandidat,"[nan, 'Gedeihen', nan, nan]","[nan, 'des Staates', nan, nan]","['B', 'A', 'P', 'K']"," Es muß dem Einzelnen durch die Staatsinstitutionen täglich aufs neue klar werden, daß sein Gedeihen vom Staate in bestmöglicher und vernünftiger Weise gefördert wird deihen vom Staate in bestmöglicher und vernünftiger Weise gefördert wird und vom Gedeihen des Staates abhängt.",de,169
170,170," Es waren also mörderische Kriege, die wohl imstande waren, ein Gegengewicht gegen die hohe Fruchtbarkeit unserer germanischen Vorfahren zu bilden und die Volkszahl in den durch die Unterhaltsmittel gegebenen Schranken zu halten.",0,7,0,Metaphernkandidat,"[nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan]","['B', 'B', 'K', 'K', 'A', 'A', 'GoldStandard']"," Es waren also mörderische Kriege, die wohl imstande waren, ein Gegengewicht gegen die hohe Fruchtbarkeit unserer germanischen Vorfahren zu bilden und die Volkszahl in den durch die Unterhaltsmittel gegebenen Schranken zu halten.",de,170
171,171," Es wird erst einer Veredlung unseres etwas verkrüppelten Patriotismus, d. h. der Liebe zum angestammten Volk, bedürfen, ehe das öffentliche Gewissen auch nach dieser Seite hin empfindlicher werden wird. wissen auch nach dieser Seite hin empfindlicher werden wird. ",1,3,0,Metaphernkandidat,"[nan, 'verkrüppelten', nan, nan]","[nan, 'Patriotismus', nan, nan]","['B', 'K', 'A', 'GoldStandard']"," Es wird erst einer Veredlung unseres etwas verkrüppelten Patriotismus, d. h. der Liebe zum angestammten Volk, bedürfen, ehe das öffentliche Gewissen auch nach dieser Seite hin empfindlicher werden wird. wissen auch nach dieser Seite hin empfindlicher werden wird. ",de,171
172,172," Ferner wurde ausgeführt, daß der Rückgang der generativen Werte die Aufwärtsbewegung der Kultur zwar nicht sofort aufzuhalten vermag, mit der Zeit aber notwendig auch zu deren Stillstand und Sinken führen muß, da die Kulturhöhe innerhalb gewisser Grenzen von der Höhe der generativen Entwicklung abhängig ist. ",1,3,0,Metaphernkandidat,"[nan, nan, 'Stillstand und Sinken ', nan]","[nan, nan, 'Kultur', nan]","['B', 'K', 'A', 'GoldStandard']"," Ferner wurde ausgeführt, daß der Rückgang der generativen Werte die Aufwärtsbewegung der Kultur zwar nicht sofort aufzuhalten vermag, mit der Zeit aber notwendig auch zu deren Stillstand und Sinken führen muß, da die Kulturhöhe innerhalb gewisser Grenzen von der Höhe der generativen Entwicklung abhängig ist. ",de,172
173,173," Folglich mußten sie an irgend welchen Stellen, deren Auswahl natürlich ganz dem subjektiven Ermessen überlassen blieb — schließlich enthält ja jede Verpflichtung, jeder Vertrag, jedes Bürgerverhältnis selbst im freiesten Staate eine gewisse Freiheitsbeschränkung — Dämme gegen den Lauf der logischen Schlüsse ausführen: beschränkung — Dämme gegen den Lauf der logischen Schlüsse ausführen:",2,3,0,Metaphernkandidat,"[nan, 'Dämme gegen den Lauf', nan, 'Dämme', nan]","[nan, 'logische Schlüsse', nan, 'mussten sie an irgend welchen Stellen ... gegen den Lauf der logischen Schlüsse ausführen', nan]","['B', 'A', 'P', 'K', 'GoldStandard']"," Folglich mußten sie an irgend welchen Stellen, deren Auswahl natürlich ganz dem subjektiven Ermessen überlassen blieb — schließlich enthält ja jede Verpflichtung, jeder Vertrag, jedes Bürgerverhältnis selbst im freiesten Staate eine gewisse Freiheitsbeschränkung — Dämme gegen den Lauf der logischen Schlüsse ausführen: beschränkung — Dämme gegen den Lauf der logischen Schlüsse ausführen:",de,173
174,174," Freilich scheint uns auch hier wie zur Erreichung so vieler anderer wünschenswerter Ziele ein hohes und tief ins Herz des Volkes eingegrabenes Staatsideal die Voraussetzung dafür zu sein, daß sich der ein- grabenes Staatsideal die Voraussetzung dafür zu sein, daß sich der einzelne im Interesse der Gesamtheit und der zukünftigen Volksgeneration zelne im Interesse der Gesamtheit und der zukünftigen Volksgeneration Beschränkungen auferlegt.",4,1,0,Metapher,"['tief ins Herz des Volkes eingegrabenes', 'eingegrabenes', 'eingegrabenes Staatsideal,Herz', nan, 'tief ins Herz des Volkes eingegrabenes']","['Staatsideal', 'Staatsideal', 'Herz,des Volkes', nan, 'Staatsideal']","['B', 'A', 'P', 'K', 'GoldStandard']"," Freilich scheint uns auch hier wie zur Erreichung so vieler anderer wünschenswerter Ziele ein hohes und tief ins Herz des Volkes eingegrabenes Staatsideal die Voraussetzung dafür zu sein, daß sich der ein- grabenes Staatsideal die Voraussetzung dafür zu sein, daß sich der einzelne im Interesse der Gesamtheit und der zukünftigen Volksgeneration zelne im Interesse der Gesamtheit und der zukünftigen Volksgeneration Beschränkungen auferlegt.",de,174
175,175," Ganz ebenso aber braucht es der wollende, handelnde, etwas leistende Staat sich nicht gefallen zu lassen, als ein bloßes Abstraktum betrachtet und behandelt zu werden.",0,5,0,Metaphernkandidat,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['B', 'A', 'P', 'K', 'GoldStandard']"," Ganz ebenso aber braucht es der wollende, handelnde, etwas leistende Staat sich nicht gefallen zu lassen, als ein bloßes Abstraktum betrachtet und behandelt zu werden.",de,175
176,176," Gebt dem Rechte einen Inhalt, welchen Ihr wollt; ordnet und gestaltet es, wie immer es sein mag: stets bleibt in ihm der Rechtszwang zurück, und diese formale Eigenschaft der Rechtsordnung ist es, die eine Gesetzmäßigkeit des sozialen Lebens sicherlich verhindern muß, — — seitdem diese Fehdeansage in klarer Schärfe uns geworden, dem Rechte in seinem formalen Rechte selbst der Krieg auf Tod und Leben verkündet ist, verbleibt nichts, als solcher radikalen Skepsis im Kampfe sich ehrlich zu stellen, — versuchend, ob man sie kritisch überwinden möge, oder das Schwert besiegt ihr ausliefern müsse.",2,3,0,Metaphernkandidat,"[nan, nan, 'einen Inhalt geben, selbst dem Krieg auf Tod und Leben verkündet ist', 'Fehdeansage', nan]","[nan, nan, 'dem Rechte', 'Gesetzmäßigkeit des sozialen Lebens', nan]","['B', 'A', 'P', 'K', 'GoldStandard']"," Gebt dem Rechte einen Inhalt, welchen Ihr wollt; ordnet und gestaltet es, wie immer es sein mag: stets bleibt in ihm der Rechtszwang zurück, und diese formale Eigenschaft der Rechtsordnung ist es, die eine Gesetzmäßigkeit des sozialen Lebens sicherlich verhindern muß, — — seitdem diese Fehdeansage in klarer Schärfe uns geworden, dem Rechte in seinem formalen Rechte selbst der Krieg auf Tod und Leben verkündet ist, verbleibt nichts, als solcher radikalen Skepsis im Kampfe sich ehrlich zu stellen, — versuchend, ob man sie kritisch überwinden möge, oder das Schwert besiegt ihr ausliefern müsse.",de,176
177,177, Gelegentlich werfen kleine Zeitungsnotizen kurze Schlaglichter auf dieses traurige soziale Kapitel. ,1,3,0,Metaphernkandidat,"[nan, nan, 'werfen kurze Schlaglichter', nan]","[nan, nan, 'auf soziale Kapitel', nan]","['B', 'K', 'A', 'GoldStandard']", Gelegentlich werfen kleine Zeitungsnotizen kurze Schlaglichter auf dieses traurige soziale Kapitel. ,de,177
178,178," Gesetzliche Vorschriften haben erstens immer die Tendenz, die Tatsachen mehr nach ihrer äußerlichen Seite zu fassen und Verhältnisse von sehr ungleichartiger innerer Beschaffenheit über denselben Kamm zu scheeren.",0,4,0,Metaphernkandidat,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","['B', 'A', 'P', 'K']"," Gesetzliche Vorschriften haben erstens immer die Tendenz, die Tatsachen mehr nach ihrer äußerlichen Seite zu fassen und Verhältnisse von sehr ungleichartiger innerer Beschaffenheit über denselben Kamm zu scheeren.",de,178
179,179," Gewiß könnte dieser Schwäche abgeholfen werden, um so leichter, als Meinungen über die Natur des Rechtes und das Wesen seiner einzelnen begrifflichen Requisite bereits in so erschöpfender Reichhaltigkeit vorhanden sind, daß eine originale Definition, von einiger Haltbarkeit natürlich, schwerlich mehr austreten kann.",1,4,0,Metaphernkandidat,"[nan, nan, nan, 'einzelnen begrifflichen Requisite', nan]","[nan, nan, nan, 'das Wesen seiner', nan]","['B', 'A', 'P', 'K', 'GoldStandard']"," Gewiß könnte dieser Schwäche abgeholfen werden, um so leichter, als Meinungen über die Natur des Rechtes und das Wesen seiner einzelnen begrifflichen Requisite bereits in so erschöpfender Reichhaltigkeit vorhanden sind, daß eine originale Definition, von einiger Haltbarkeit natürlich, schwerlich mehr austreten kann.",de,179
180,180," Gleich den Organismen niederster Ordnung vermehren sie [Stämme und Völkerschaften] sich einfach durch Teilung; aus einem werden zwei, drei oder auch zehn, ohne Wehen und Geburtsschmerz.",4,1,0,Metapher,"['Wehen und Geburtsschmerz', 'ohne Wehen und Geburtsschmerz', nan, 'ohne Wehen und Geburtsschmerz', nan]","['Teilung der Stämme und Völkerschaften', 'durchTeilung,sie [Stämme und Völkerschaften]', nan, 'vermehren sie [Stämme und Völkerschaften] sich einfach durch Teilung', nan]","['B', 'A', 'P', 'K', 'GoldStandard']"," Gleich den Organismen niederster Ordnung vermehren sie [Stämme und Völkerschaften] sich einfach durch Teilung; aus einem werden zwei, drei oder auch zehn, ohne Wehen und Geburtsschmerz.",de,180
